Relave,Mes,Cveginst
Talabre,1,"205.851.395.570,21"
Talabre,2,"206.606.184.020,71"
Talabre,3,"207.363.740.028,85"
Talabre,4,"208.124.073.742,36"
Talabre,5,"208.887.195.346,15"
Talabre,6,"209.653.115.062,49"
Talabre,7,"210.421.843.151,12"
Talabre,8,"211.193.389.909,41"
Talabre,9,"211.967.765.672,48"
Talabre,10,"212.744.980.813,35"
Talabre,11,"213.525.045.743,07"
Talabre,12,"214.307.970.910,87"
Pampa Austral,1,"52.935.836.680,03"
Pampa Austral,2,"53.129.934.747,87"
Pampa Austral,3,"53.324.744.508,63"
Pampa Austral,4,"53.520.268.571,85"
Pampa Austral,5,"53.716.509.556,63"
Pampa Austral,6,"53.913.470.091,69"
Pampa Austral,7,"54.111.152.815,38"
Pampa Austral,8,"54.309.560.375,72"
Pampa Austral,9,"54.508.695.430,45"
Pampa Austral,10,"54.708.560.647,04"
Pampa Austral,11,"54.909.158.702,77"
Pampa Austral,12,"55.110.492.284,70"
Potrerillos II,1,"115.383.197,31"
Potrerillos II,2,"115.806.269,04"
Potrerillos II,3,"116.230.892,02"
Potrerillos II,4,"116.657.071,96"
Potrerillos II,5,"117.084.814,56"
Potrerillos II,6,"117.514.125,54"
Potrerillos II,7,"117.945.010,67"
Potrerillos II,8,"118.377.475,71"
Potrerillos II,9,"118.811.526,45"
Potrerillos II,10,"119.247.168,72"
Potrerillos II,11,"119.684.408,34"
Potrerillos II,12,"120.123.251,17"
Ovejeria,1,"157.394.295.873,66"
Ovejeria,2,"157.971.408.291,92"
Ovejeria,3,"158.550.636.789,04"
Ovejeria,4,"159.131.989.123,99"
Ovejeria,5,"159.715.473.084,16"
Ovejeria,6,"160.301.096.485,52"
Ovejeria,7,"160.888.867.172,69"
Ovejeria,8,"161.478.793.019,04"
Ovejeria,9,"162.070.881.926,83"
Ovejeria,10,"162.665.141.827,29"
Ovejeria,11,"163.261.580.680,71"
Ovejeria,12,"163.860.206.476,59"
Caren,1,"298.072.558.581,45"
Caren,2,"299.165.491.296,35"
Caren,3,"300.262.431.431,20"
Caren,4,"301.363.393.679,88"
Caren,5,"302.468.392.790,14"
Caren,6,"303.577.443.563,81"
Caren,7,"304.690.560.856,98"
Caren,8,"305.807.759.580,22"
Caren,9,"306.929.054.698,78"
Caren,10,"308.054.461.232,78"
Caren,11,"309.183.994.257,40"
Caren,12,"310.317.668.903,12"